epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,1616.68,0.6318,0.71922,0.87929,0.71616,0.94645,0.96151,0.79525,0.60219,0.77564,0.89661,0.00987526,0.00987526,0.00987526
128,1710.46,0.67672,0.77068,0.913,0.76288,0.91536,0.96133,0.78694,0.60207,0.7797,0.89241,0.00987427,0.00987427,0.00987427
129,1799.96,0.66527,0.74079,0.90875,0.84042,0.87062,0.96419,0.8013,0.6028,0.78526,0.8863,0.00987328,0.00987328,0.00987328
130,1875.7,0.64762,0.77177,0.90044,0.81011,0.89591,0.96335,0.79015,0.59369,0.79148,0.89308,0.00987229,0.00987229,0.00987229
131,1945.24,0.66061,0.69661,0.88818,0.76178,0.94074,0.98036,0.80293,0.59149,0.79208,0.88737,0.0098713,0.0098713,0.0098713
132,2011.44,0.64582,0.79488,0.89664,0.77396,0.94873,0.98811,0.81324,0.58513,0.74342,0.88801,0.00987031,0.00987031,0.00987031
133,2071.34,0.64797,0.78557,0.89942,0.80676,0.93291,0.97474,0.79757,0.59807,0.75855,0.89121,0.00986932,0.00986932,0.00986932
134,2119.06,0.65026,0.76341,0.88634,0.81776,0.89583,0.97446,0.81005,0.566,0.74868,0.87421,0.00986833,0.00986833,0.00986833
135,2176.28,0.64896,0.75439,0.88939,0.796,0.93298,0.96604,0.79374,0.60347,0.77561,0.88615,0.00986734,0.00986734,0.00986734
136,2229.37,0.61375,0.69863,0.88487,0.8229,0.89807,0.96175,0.79894,0.60803,0.77462,0.8926,0.00986635,0.00986635,0.00986635
137,2276.74,0.62514,0.77086,0.87873,0.78703,0.9472,0.97816,0.80248,0.59135,0.78074,0.88569,0.00986536,0.00986536,0.00986536
138,2340.03,0.65218,0.73595,0.89726,0.8915,0.84663,0.97265,0.80573,0.58513,0.75885,0.88225,0.00986437,0.00986437,0.00986437
139,2388.6,0.65671,0.80665,0.89621,0.77479,0.91872,0.97033,0.79836,0.59168,0.75385,0.87825,0.00986338,0.00986338,0.00986338
140,2446.64,0.68174,0.7545,0.89471,0.87367,0.86266,0.97886,0.80815,0.57158,0.75789,0.8739,0.00986239,0.00986239,0.00986239
141,2491.01,0.6437,0.76886,0.89896,0.83007,0.90031,0.96369,0.7859,0.60562,0.74842,0.87858,0.0098614,0.0098614,0.0098614
133,46.6381,0.65576,0.81654,0.89775,0.80689,0.90436,0.97937,0.80631,0.61431,0.79922,0.8887,0.00986932,0.00986932,0.00986932
134,97.4311,0.62113,0.7756,0.88,0.70898,0.93004,0.97581,0.78756,0.61166,0.79214,0.89024,0.00986833,0.00986833,0.00986833
135,152.449,0.62505,0.79278,0.88112,0.79246,0.88056,0.96815,0.79971,0.56836,0.74672,0.8815,0.00986734,0.00986734,0.00986734
136,202.974,0.63704,0.75806,0.88637,0.72194,0.92121,0.95965,0.79313,0.59375,0.75694,0.88048,0.00986635,0.00986635,0.00986635
137,258.387,0.62985,0.75616,0.8938,0.85512,0.82237,0.9568,0.77648,0.58198,0.74759,0.88149,0.00986536,0.00986536,0.00986536
133,16.0246,0.65576,0.81654,0.89775,0.80689,0.90436,0.97937,0.80631,0.61431,0.79922,0.8887,0.00986932,0.00986932,0.00986932
134,33.2467,0.62113,0.7756,0.88,0.70898,0.93004,0.97581,0.78756,0.61166,0.79214,0.89024,0.00986833,0.00986833,0.00986833
135,48.1987,0.62505,0.79278,0.88112,0.79246,0.88056,0.96815,0.79971,0.56836,0.74672,0.8815,0.00986734,0.00986734,0.00986734
136,64.6502,0.63704,0.75806,0.88637,0.72194,0.92121,0.95965,0.79313,0.59375,0.75694,0.88048,0.00986635,0.00986635,0.00986635
137,80.2455,0.62985,0.75616,0.8938,0.85512,0.82237,0.9568,0.77648,0.58198,0.74759,0.88149,0.00986536,0.00986536,0.00986536
138,132.473,0.65124,0.74151,0.88094,0.82639,0.83328,0.9321,0.75985,0.59965,0.7661,0.87966,0.00986437,0.00986437,0.00986437
139,177.511,0.65398,0.77049,0.90661,0.7366,0.88374,0.94534,0.75492,0.59704,0.77101,0.88985,0.00986338,0.00986338,0.00986338
140,226.245,0.61566,0.75129,0.88971,0.74937,0.88307,0.93252,0.76388,0.59325,0.75501,0.88779,0.00986239,0.00986239,0.00986239
141,276.216,0.63881,0.73968,0.90921,0.74025,0.9008,0.97386,0.78893,0.63858,0.76697,0.90273,0.0098614,0.0098614,0.0098614
142,343.924,0.6224,0.71466,0.88097,0.81126,0.85818,0.97103,0.78654,0.59019,0.76364,0.89292,0.00986041,0.00986041,0.00986041
143,405.278,0.62391,0.78706,0.89879,0.75569,0.89224,0.95636,0.7834,0.58502,0.78645,0.88743,0.00985942,0.00985942,0.00985942
144,474.162,0.6543,0.74563,0.8915,0.84567,0.75393,0.86976,0.72017,0.62034,0.79049,0.90436,0.00985843,0.00985843,0.00985843
145,539.683,0.63944,0.7526,0.89424,0.87393,0.82964,0.97021,0.78202,0.59854,0.76109,0.9023,0.00985744,0.00985744,0.00985744
146,580.602,0.63177,0.72006,0.88511,0.90948,0.83291,0.96691,0.79348,0.56469,0.72188,0.8807,0.00985645,0.00985645,0.00985645
147,621.106,0.66258,0.73143,0.88225,0.87485,0.85162,0.96704,0.78951,0.59014,0.73704,0.8903,0.00985546,0.00985546,0.00985546
